,features
0,tet(A)->seq_id
1,ADC-58->seq_id
2,OXA-237->seq_cov
3,ADC-30->seq_id
4,OXA-69->seq_cov
5,ADC-30->seq_cov
6,ADC-79->seq_cov
7,ADC-25->seq_cov
8,OXA-430->seq_id
9,acrD->seq_id
10,OXA-98->seq_cov
11,adeH->seq_id
12,adeK->seq_cov
13,CARB-16->seq_id
14,TEM-12->seq_cov
15,OXA-259->seq_id
16,acrF->seq_id
17,Acinetobacter_baumannii_AmpC_beta-lactamase->seq_id
18,adeK->seq_id
19,OXA-340->seq_cov
20,aadA27->seq_id
21,cmeB->seq_cov
22,catB8->seq_cov
23,AAC(3)-IIe->seq_id
24,mphE->seq_id
25,OXA-98->seq_id
26,macB->seq_cov
27,ADC-2->seq_id
28,Acinetobacter_baumannii_AmvA->seq_id
29,OXA-407->seq_cov
30,ADC-3->seq_id
31,APH(3')-Ia->seq_id
32,OXA-413->seq_id
33,adeL->seq_id
34,adeF->seq_cov
35,OXA-413->seq_cov
36,OXA-100->seq_id
37,floR->seq_cov
38,AAC(3)-IIe->seq_cov
39,ADC-75->seq_id
40,TEM-1->seq_cov
41,sul2->seq_cov
42,OXA-106->seq_cov
43,APH(3'')-Ib->seq_id
44,adeJ->seq_id
45,adeN->seq_id
46,ugd->seq_id
47,Acinetobacter_baumannii_AmpC_beta-lactamase->seq_cov
48,msrE->seq_cov
49,OXA-121->seq_cov
50,ADC-25->seq_id
51,abeS->seq_id
52,ANT(3'')-IIa->seq_id
53,ugd->seq_cov
54,Acinetobacter_baumannii_AbaF->seq_id
55,OXA-270->seq_id
56,sul1->seq_id
57,OXA-66->seq_id
58,APH(3')-VIa->seq_cov
59,aadA27->seq_cov
60,acrB->seq_id
61,ADC-16->seq_cov
62,OXA-407->seq_id
63,OXA-94->seq_id
64,mexK->seq_id
65,cmlB1->seq_cov
66,msrE->seq_id
67,ADC-68->seq_cov
68,CARB-16->seq_cov
69,abeM->seq_cov
70,mdtF->seq_cov
71,acrB->seq_cov
72,adeS->seq_id
73,ANT(3'')-IIc->seq_id
74,acrD->seq_cov
75,catI->seq_cov
76,abeM->seq_id
77,catI->seq_id
78,APH(3')-VI->seq_cov
79,OXA-121->seq_id
80,OXA-100->seq_cov
81,adeG->seq_id
82,ANT(2'')-Ia->seq_id
83,ADC-79->seq_id
84,OXA-115->seq_cov
85,ANT(3'')-IIc->seq_cov
86,ADC-76->seq_cov
87,tet(39)->seq_id
88,ADC-6->seq_id
89,OXA-58->seq_cov
90,adeR->seq_cov
91,dfrA19->seq_cov
92,OXA-94->seq_cov
93,OXA-65->seq_cov
94,Klebsiella_pneumoniae_KpnG->seq_cov
95,Acinetobacter_baumannii_AmvA->seq_cov
96,OXA-71->seq_id
97,adeG->seq_cov
98,OXA-340->seq_id
99,OXA-23->seq_id
100,OXA-314->seq_id
101,OXA-68->seq_id
102,Acinetobacter_baumannii_AbaF->seq_cov
103,adeF->seq_id
104,OXA-72->seq_cov
105,floR->seq_id
106,ADC-16->seq_id
107,OXA-314->seq_cov
108,ADC-6->seq_cov
109,OXA-208->seq_id
110,ADC-76->seq_id
111,ADC-58->seq_cov
112,dfrA19->seq_id
113,OXA-115->seq_id
114,cmeB->seq_id
115,golS->seq_cov
116,APH(3')-VIa->seq_id
117,ADC-11->seq_id
118,APH(6)-Id->seq_id
119,AAC(6')-Ib7->seq_id
120,ADC-68->seq_id
121,OXA-91->seq_cov
122,cmlB1->seq_id
123,OXA-270->seq_cov
124,adeJ->seq_cov
125,APH(6)-Id->seq_cov
126,ANT(2'')-Ia->seq_cov
127,AAC(3)-Ia->seq_cov
128,AAC(6')-Iaf->seq_cov
129,adeA->seq_cov
130,tet(A)->seq_cov
131,OXA-402->seq_id
132,adeI->seq_id
133,OXA-242->seq_id
134,armA->seq_id
135,OXA-90->seq_cov
136,AAC(6')-Iaf->seq_id
137,adeB->seq_cov
138,mdsB->seq_id
139,catB8->seq_id
140,golS->seq_id
141,AAC(6')-Ib7->seq_cov
142,OXA-91->seq_id
143,mdsB->seq_cov
144,catB3->seq_id
145,catB3->seq_cov
146,TEM-12->seq_id
147,ADC-41->seq_id
148,OXA-23->seq_cov
149,OXA-58->seq_id
150,AAC(3)-Ia->seq_id
151,mexK->seq_cov
152,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_cov
153,OXA-90->seq_id
154,OXA-72->seq_id
155,tet(B)->seq_id
156,OXA-208->seq_cov
157,OXA-317->seq_cov
158,adeS->seq_cov
159,adeC->seq_id
160,Acinetobacter_baumannii_AbaQ->seq_cov
161,adeR->seq_id
162,OXA-431->seq_cov
163,OXA-431->seq_id
164,OXA-24->seq_id
165,macB->seq_id
166,mdtF->seq_id
167,OXA-24->seq_cov
168,OXA-51->seq_id
169,adeA->seq_id
170,ANT(3'')-IIa->seq_cov
171,OXA-64->seq_id
172,OXA-71->seq_cov
173,Acinetobacter_baumannii_AbaQ->seq_id
174,adeN->seq_cov
175,ADC-3->seq_cov
176,OXA-237->seq_id
177,adeI->seq_cov
178,abeS->seq_cov
179,OXA-106->seq_id
180,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_id
181,OXA-430->seq_cov
182,APH(3'')-Ib->seq_cov
183,ADC-41->seq_cov
184,OXA-242->seq_cov
185,OXA-69->seq_id
186,tet(39)->seq_cov
187,tet(B)->seq_cov
188,OXA-51->seq_cov
189,OXA-65->seq_id
190,OXA-259->seq_cov
191,acrF->seq_cov
192,adeB->seq_id
193,adeL->seq_cov
194,TEM-1->seq_id
195,ADC-75->seq_cov
196,ADC-11->seq_cov
197,OXA-68->seq_cov
198,Klebsiella_pneumoniae_KpnG->seq_id
199,APH(3')-VI->seq_id
200,OXA-66->seq_cov
201,ADC-2->seq_cov
202,adeH->seq_cov
203,OXA-317->seq_id
204,armA->seq_cov
205,mphE->seq_cov
