,features
0,aadA11->seq_id
1,tet(A)->seq_id
2,PER-1->seq_cov
3,OXA-203->seq_cov
4,cmlA5->seq_id
5,OXA-237->seq_cov
6,ADC-30->seq_id
7,OXA-69->seq_cov
8,ADC-30->seq_cov
9,ADC-79->seq_cov
10,ADC-25->seq_cov
11,acrD->seq_id
12,SHV-5->seq_cov
13,OXA-98->seq_cov
14,adeH->seq_id
15,aadA17->seq_id
16,adeK->seq_cov
17,CARB-16->seq_id
18,TEM-12->seq_cov
19,OXA-259->seq_id
20,Acinetobacter_baumannii_AmpC_beta-lactamase->seq_id
21,determinant_of_bleomycin_resistance->seq_id
22,adeK->seq_id
23,AAC(6')-Ian->seq_id
24,OXA-340->seq_cov
25,ANT(3'')-IIb->seq_id
26,aadA27->seq_id
27,catB8->seq_cov
28,AAC(3)-IIe->seq_id
29,mphE->seq_id
30,OXA-98->seq_id
31,ADC-2->seq_id
32,Acinetobacter_baumannii_AmvA->seq_id
33,OXA-316->seq_id
34,APH(3')-Ia->seq_id
35,adeL->seq_id
36,CMY-59->seq_cov
37,adeF->seq_cov
38,AAC(6')-Ib10->seq_cov
39,OXA-100->seq_id
40,floR->seq_cov
41,arr-2->seq_cov
42,AAC(3)-IIe->seq_cov
43,ADC-75->seq_id
44,TEM-1->seq_cov
45,aadA12->seq_cov
46,sul2->seq_cov
47,OXA-106->seq_cov
48,OXA-312->seq_cov
49,APH(3'')-Ib->seq_id
50,adeJ->seq_id
51,SHV-5->seq_id
52,ADC-77->seq_id
53,adeN->seq_id
54,ugd->seq_id
55,Acinetobacter_baumannii_AmpC_beta-lactamase->seq_cov
56,msrE->seq_cov
57,NDM-1->seq_cov
58,ADC-25->seq_id
59,abeS->seq_id
60,ANT(3'')-IIa->seq_id
61,ugd->seq_cov
62,Acinetobacter_baumannii_AbaF->seq_id
63,sul1->seq_id
64,OXA-66->seq_id
65,APH(3')-VIa->seq_cov
66,aadA27->seq_cov
67,acrB->seq_id
68,CMY-59->seq_id
69,ADC-77->seq_cov
70,OXA-94->seq_id
71,mexK->seq_id
72,cmlB1->seq_cov
73,msrE->seq_id
74,ADC-68->seq_cov
75,CARB-16->seq_cov
76,abeM->seq_cov
77,OXA-313->seq_cov
78,acrB->seq_cov
79,adeS->seq_id
80,ANT(3'')-IIc->seq_id
81,acrD->seq_cov
82,catI->seq_cov
83,abeM->seq_id
84,catI->seq_id
85,APH(3')-VI->seq_cov
86,determinant_of_bleomycin_resistance->seq_cov
87,OXA-100->seq_cov
88,adeG->seq_id
89,ANT(2'')-Ia->seq_id
90,ADC-79->seq_id
91,OXA-115->seq_cov
92,ANT(3'')-IIc->seq_cov
93,ADC-1->seq_id
94,ADC-76->seq_cov
95,tet(39)->seq_id
96,ADC-6->seq_id
97,OXA-58->seq_cov
98,adeR->seq_cov
99,OXA-94->seq_cov
100,OXA-65->seq_cov
101,PER-7->seq_cov
102,Klebsiella_pneumoniae_KpnG->seq_cov
103,cmlA5->seq_cov
104,ADC-1->seq_cov
105,Acinetobacter_baumannii_AmvA->seq_cov
106,arr-2->seq_id
107,ADC-10->seq_id
108,OXA-71->seq_id
109,adeG->seq_cov
110,OXA-203->seq_id
111,OXA-340->seq_id
112,OXA-23->seq_id
113,OXA-68->seq_id
114,Acinetobacter_baumannii_AbaF->seq_cov
115,adeF->seq_id
116,OXA-312->seq_id
117,dfrB1->seq_id
118,OXA-72->seq_cov
119,floR->seq_id
120,ADC-6->seq_cov
121,ADC-76->seq_id
122,aadA11->seq_cov
123,OXA-115->seq_id
124,APH(3')-VIa->seq_id
125,ADC-11->seq_id
126,aadA12->seq_id
127,APH(6)-Id->seq_id
128,AAC(6')-Ib7->seq_id
129,ADC-68->seq_id
130,cmlB1->seq_id
131,adeJ->seq_cov
132,APH(6)-Id->seq_cov
133,ANT(2'')-Ia->seq_cov
134,AAC(3)-Ia->seq_cov
135,OXA-316->seq_cov
136,AAC(6')-Iaf->seq_cov
137,adeA->seq_cov
138,PER-7->seq_id
139,tet(A)->seq_cov
140,adeI->seq_id
141,armA->seq_id
142,AAC(6')-Iaf->seq_id
143,adeB->seq_cov
144,catB8->seq_id
