,features
0,tet(A)->seq_id
1,PER-1->seq_cov
2,Staphylococcys_aureus_LmrS->seq_id
3,cmlA5->seq_id
4,ADC-30->seq_id
5,OXA-69->seq_cov
6,ADC-30->seq_cov
7,ADC-79->seq_cov
8,ADC-25->seq_cov
9,acrD->seq_id
10,OXA-98->seq_cov
11,adeH->seq_id
12,dfrA1->seq_cov
13,aadA17->seq_id
14,adeK->seq_cov
15,eptA->seq_cov
16,Staphylococcys_aureus_LmrS->seq_cov
17,CARB-16->seq_id
18,TEM-12->seq_cov
19,APH(3')-IIIa->seq_cov
20,determinant_of_bleomycin_resistance->seq_id
21,adeK->seq_id
22,eptA->seq_id
23,aadA27->seq_id
24,catB8->seq_cov
25,AAC(3)-IIe->seq_id
26,mphE->seq_id
27,OXA-98->seq_id
28,ADC-2->seq_id
29,Acinetobacter_baumannii_AmvA->seq_id
30,APH(3')-Ia->seq_id
31,adeL->seq_id
32,CMY-59->seq_cov
33,adeF->seq_cov
34,OXA-100->seq_id
35,floR->seq_cov
36,arr-2->seq_cov
37,AAC(3)-IIe->seq_cov
38,ADC-75->seq_id
39,TEM-1->seq_cov
40,sul2->seq_cov
41,APH(3'')-Ib->seq_id
42,adeJ->seq_id
43,msrA->seq_cov
44,mphC->seq_id
45,ADC-77->seq_id
46,adeN->seq_id
47,ugd->seq_id
48,msrE->seq_cov
49,NDM-1->seq_cov
50,ADC-25->seq_id
51,abeS->seq_id
52,ANT(3'')-IIa->seq_id
53,ugd->seq_cov
54,Acinetobacter_baumannii_AbaF->seq_id
55,CARB-10->seq_id
56,ADC-74->seq_id
57,sul1->seq_id
58,mphC->seq_cov
59,OXA-66->seq_id
60,APH(3')-VIa->seq_cov
61,aadA27->seq_cov
62,acrB->seq_id
63,CMY-59->seq_id
64,PC1_beta-lactamase_(blaZ)->seq_id
65,ADC-77->seq_cov
66,OXA-94->seq_id
67,mexK->seq_id
68,cmlB1->seq_cov
69,PC1_beta-lactamase_(blaZ)->seq_cov
70,msrE->seq_id
71,ADC-68->seq_cov
72,CARB-16->seq_cov
73,abeM->seq_cov
74,acrB->seq_cov
75,adeS->seq_id
76,ANT(3'')-IIc->seq_id
77,acrD->seq_cov
78,catI->seq_cov
79,abeM->seq_id
80,catI->seq_id
81,APH(3')-VI->seq_cov
82,SAT-4->seq_id
83,determinant_of_bleomycin_resistance->seq_cov
84,OXA-100->seq_cov
85,adeG->seq_id
86,ANT(2'')-Ia->seq_id
87,ADC-79->seq_id
88,OXA-115->seq_cov
89,ANT(3'')-IIc->seq_cov
90,ADC-1->seq_id
91,ADC-76->seq_cov
92,tet(39)->seq_id
93,ADC-6->seq_id
94,adeR->seq_cov
95,OXA-94->seq_cov
96,OXA-65->seq_cov
97,PER-7->seq_cov
