,features
0,aadA11->seq_id
1,tet(A)->seq_id
2,PER-1->seq_cov
3,ADC-30->seq_id
4,OXA-69->seq_cov
5,ADC-30->seq_cov
6,ADC-79->seq_cov
7,ADC-25->seq_cov
8,acrD->seq_id
9,SHV-5->seq_cov
10,adeH->seq_id
11,aadA17->seq_id
12,adeK->seq_cov
13,CARB-16->seq_id
14,TEM-12->seq_cov
15,adeK->seq_id
16,aadA27->seq_id
17,AAC(3)-IIe->seq_id
18,mphE->seq_id
19,ADC-2->seq_id
20,Acinetobacter_baumannii_AmvA->seq_id
21,OXA-316->seq_id
22,APH(3')-Ia->seq_id
23,OXA-413->seq_id
24,adeL->seq_id
25,adeF->seq_cov
26,OXA-413->seq_cov
27,AAC(6')-Ib10->seq_cov
28,OXA-100->seq_id
29,AAC(3)-IIe->seq_cov
30,ADC-75->seq_id
31,aadA12->seq_cov
32,sul2->seq_cov
33,OXA-312->seq_cov
34,APH(3'')-Ib->seq_id
35,adeJ->seq_id
36,SHV-5->seq_id
37,ADC-77->seq_id
38,adeN->seq_id
39,ugd->seq_id
40,msrE->seq_cov
41,ADC-25->seq_id
42,abeS->seq_id
43,ANT(3'')-IIa->seq_id
44,ugd->seq_cov
45,Acinetobacter_baumannii_AbaF->seq_id
46,ADC-74->seq_id
47,sul1->seq_id
48,OXA-66->seq_id
49,aadA27->seq_cov
50,acrB->seq_id
51,ADC-77->seq_cov
52,OXA-94->seq_id
53,mexK->seq_id
54,msrE->seq_id
55,ADC-68->seq_cov
56,CARB-16->seq_cov
57,abeM->seq_cov
58,OXA-313->seq_cov
59,acrB->seq_cov
60,adeS->seq_id
61,acrD->seq_cov
62,catI->seq_cov
63,abeM->seq_id
64,catI->seq_id
65,APH(3')-VI->seq_cov
66,OXA-100->seq_cov
67,adeG->seq_id
68,ANT(2'')-Ia->seq_id
69,ADC-79->seq_id
70,ADC-76->seq_cov
71,tet(39)->seq_id
72,ADC-6->seq_id
73,OXA-58->seq_cov
74,adeR->seq_cov
75,OXA-94->seq_cov
76,Klebsiella_pneumoniae_KpnG->seq_cov
77,Acinetobacter_baumannii_AmvA->seq_cov
78,ADC-10->seq_id
79,OXA-71->seq_id
80,adeG->seq_cov
81,OXA-23->seq_id
82,Acinetobacter_baumannii_AbaF->seq_cov
83,adeF->seq_id
84,OXA-312->seq_id
85,dfrB1->seq_id
86,ADC-6->seq_cov
87,OXA-208->seq_id
88,ADC-76->seq_id
89,aadA11->seq_cov
90,ADC-74->seq_cov
91,golS->seq_cov
92,ADC-11->seq_id
93,aadA12->seq_id
94,APH(6)-Id->seq_id
95,AAC(6')-Ib7->seq_id
96,ADC-68->seq_id
97,adeJ->seq_cov
98,APH(6)-Id->seq_cov
99,ANT(2'')-Ia->seq_cov
100,AAC(3)-Ia->seq_cov
101,OXA-316->seq_cov
102,AAC(6')-Iaf->seq_cov
103,adeA->seq_cov
104,tet(A)->seq_cov
105,adeI->seq_id
106,OXA-90->seq_cov
107,AAC(6')-Iaf->seq_id
108,adeB->seq_cov
109,mdsB->seq_id
110,golS->seq_id
111,OXA-164->seq_cov
112,AAC(6')-Ib7->seq_cov
113,AAC(6')-Ib10->seq_id
114,mdsB->seq_cov
115,TEM-12->seq_id
116,ADC-41->seq_id
117,OXA-23->seq_cov
118,OXA-58->seq_id
119,AAC(3)-Ia->seq_id
120,mexK->seq_cov
121,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_cov
122,PER-1->seq_id
123,OXA-90->seq_id
124,tet(B)->seq_id
125,OXA-208->seq_cov
126,OXA-317->seq_cov
127,adeS->seq_cov
128,adeC->seq_id
129,Acinetobacter_baumannii_AbaQ->seq_cov
130,adeR->seq_id
131,OXA-431->seq_cov
132,OXA-431->seq_id
133,adeA->seq_id
134,ADC-10->seq_cov
135,ANT(3'')-IIa->seq_cov
136,OXA-64->seq_id
137,OXA-71->seq_cov
138,Acinetobacter_baumannii_AbaQ->seq_id
139,OXA-313->seq_id
140,adeN->seq_cov
141,adeI->seq_cov
142,abeS->seq_cov
143,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_id
144,APH(3'')-Ib->seq_cov
145,ADC-41->seq_cov
146,OXA-69->seq_id
147,tet(39)->seq_cov
148,tet(B)->seq_cov
149,dfrB1->seq_cov
150,adeB->seq_id
151,adeL->seq_cov
152,aadA17->seq_cov
153,ADC-75->seq_cov
154,ADC-11->seq_cov
155,Klebsiella_pneumoniae_KpnG->seq_id
156,APH(3')-VI->seq_id
157,OXA-66->seq_cov
158,ADC-2->seq_cov
159,adeH->seq_cov
160,OXA-317->seq_id
161,mphE->seq_cov
162,sul2->seq_id
163,sul1->seq_cov
164,APH(3')-Ia->seq_cov
165,adeC->seq_cov
166,OXA-164->seq_id
167,OXA-64->seq_cov
