iter	RMSE
0	2.073650965
1	1.98327652
2	1.895931373
3	1.817954362
4	1.75223054
5	1.69501699
6	1.646573683
7	1.602050313
8	1.565072895
9	1.524553215
10	1.494702411
11	1.487129053
12	1.46026385
13	1.435640001
14	1.415164446
15	1.38726086
16	1.364457908
17	1.343481534
18	1.325209789
19	1.314323904
20	1.301038244
21	1.268527633
22	1.255519807
23	1.245445996
24	1.241421925
25	1.235184881
26	1.228977803
27	1.223964176
28	1.217701812
29	1.208807323
30	1.205721972
31	1.199729389
32	1.194741463
33	1.190247439
34	1.18652887
35	1.183619048
36	1.181341499
37	1.17730506
38	1.17099683
39	1.166539396
40	1.164003097
41	1.161146507
42	1.159857118
43	1.133306146
44	1.131303037
45	1.126255021
46	1.124150507
47	1.114951108
48	1.113940688
49	1.111699928
50	1.110558795
51	1.10903117
52	1.094852278
53	1.090772801
54	1.087496667
55	1.086121988
56	1.069288982
57	1.065721924
58	1.064001557
59	1.060621061
60	1.058358385
61	1.053614047
62	1.039811999
63	1.038159155
64	1.032045445
65	1.030597984
66	1.028504335
67	1.015770937
68	1.015339724
69	1.014391994
70	1.013732054
71	1.01151699
72	1.005536022
73	1.004667255
74	1.003694916
75	1.002742241
76	0.9914735273
77	0.9906359035
78	0.9886563641
79	0.9876669257
80	0.9853765927
81	0.9756855099
82	0.9737911705
83	0.9651108595
84	0.964183692
85	0.9623759328
86	0.9601748097
87	0.9587123771
88	0.9577499386
89	0.9559888293
90	0.9555864931
91	0.9547874558
92	0.9480326336
93	0.9476474408
94	0.9468919882
95	0.9449779548
96	0.9444496874
97	0.9433657697
98	0.9426233676
99	0.9412886222
100	0.9403690148
101	0.9393344809
102	0.9389621534
103	0.9320219246
104	0.931333208
105	0.931105509
106	0.9262690549
107	0.9261011966
108	0.9175110178
109	0.914999537
110	0.9072841376
111	0.9065575963
112	0.9058078661
113	0.9025621137
114	0.9004450385
115	0.8984752015
116	0.8939338999
117	0.8880685177
118	0.8834535968
119	0.883357109
120	0.8792542526
121	0.878276703
122	0.8743667264
123	0.8725010638
124	0.8695438619
125	0.8686647698
126	0.8660013008
127	0.8631400882
128	0.860223994
129	0.8593417632
130	0.8542287681
131	0.8488590036
132	0.8483720741
133	0.8455465782
134	0.8438536154
135	0.8396690694
136	0.8370709775
137	0.8357898153
138	0.8339450985
139	0.8304239217
140	0.8288765236
141	0.8277003181
142	0.8254672098
143	0.8235571204
144	0.822269009
145	0.8180763107
146	0.8163538915
147	0.8150738791
148	0.8137048021
149	0.8124424383
150	0.8112616218
151	0.8077887273
152	0.8064178324
153	0.8051318358
154	0.8041359737
155	0.8019981301
156	0.8006125017
157	0.7985448376
158	0.7963366436
159	0.7953952459
160	0.7946818826
161	0.793419224
162	0.7929586288
163	0.7897332307
164	0.7891217671
165	0.7859605015
166	0.7852831502
167	0.7845696854
168	0.7815782252
169	0.7810189052
170	0.7782931396
171	0.7778199866
172	0.7754144203
173	0.7744449635
174	0.7735832212
175	0.7727832608
176	0.7724973037
177	0.7708013747
178	0.7703645733
179	0.7681128961
180	0.7663360015
181	0.7656926032
182	0.7650536716
183	0.763670104
184	0.7617018657
185	0.7611426584
186	0.7606229196
187	0.7602832499
188	0.7585888546
189	0.7575382964
190	0.7569547909
191	0.7565265146
192	0.7546339387
193	0.7543811361
194	0.7540509889
195	0.7533146086
196	0.7530913613
197	0.752450719
198	0.7506505833
199	0.748057712
200	0.7475347784
201	0.7467183062
202	0.7465421067
203	0.7453696521
204	0.7439414511
205	0.7424917851
206	0.7413452871
207	0.7411161169
208	0.7403777919
209	0.7386865266
210	0.7371822998
211	0.7357057044
212	0.7343758275
213	0.7328743619
214	0.7320633028
215	0.731555555
216	0.73079423
217	0.7304588842
218	0.7299248266
219	0.7297557965
220	0.7282910636
221	0.7279911143
222	0.7273601859
223	0.7266336647
224	0.7259856887
225	0.7248104574
226	0.7245908989
227	0.7243319882
228	0.7239356198
229	0.7236251749
230	0.7232142805
231	0.7225713925
232	0.7224550641
233	0.7223076975
234	0.7218355858
235	0.7216824546
236	0.7213740068
237	0.7212452496
238	0.720029109
239	0.7195268967
240	0.7189782143
241	0.7185289574
242	0.7173267394
243	0.7172157862
244	0.7170240458
245	0.7166148233
246	0.7160529874
