iter	Passed	Remaining
0	59	514279
1	117	505304
2	175	501955
3	234	503806
4	289	496725
5	339	485879
6	394	482824
7	450	483113
8	505	481128
9	558	478768
10	614	478602
11	668	477777
12	723	476685
13	778	476479
14	835	476996
15	887	475347
16	940	473902
17	982	467569
18	1037	467426
19	1093	468113
20	1147	468046
21	1201	467450
22	1255	467295
23	1315	469273
24	1370	469103
25	1422	468301
26	1480	469183
27	1536	469342
28	1588	468478
29	1640	467822
30	1694	467371
31	1746	466803
32	1800	466601
33	1814	456224
34	1868	456276
35	1923	456730
36	1978	456918
37	2035	457628
38	2090	457904
39	2121	453075
40	2175	453214
41	2231	453695
42	2283	453434
43	2339	453946
44	2393	454131
45	2451	455035
46	2470	448677
47	2525	449108
48	2582	449849
49	2636	449961
50	2689	449930
51	2742	449963
52	2794	449775
53	2847	449727
54	2903	450128
55	2956	450253
56	3011	450396
57	3065	450625
58	3118	450549
59	3177	451422
60	3264	456090
61	3322	456631
62	3378	456869
63	3433	457018
64	3487	457029
65	3542	457174
66	3594	456915
67	3648	456882
68	3703	456949
69	3755	456764
70	3770	451997
71	3825	452206
72	3880	452328
73	3948	453985
74	4006	454520
75	4064	454983
76	4120	455150
77	4175	455287
78	4230	455414
79	4285	455451
80	4339	455513
81	4394	455612
82	4448	455561
83	4503	455689
84	4559	455824
85	4615	456028
86	4670	456054
87	4724	456076
88	4778	456033
89	4832	455998
90	4884	455835
91	4938	455761
92	4991	455632
93	5046	455731
94	5098	455544
95	5151	455418
96	5205	455405
97	5259	455367
98	5314	455444
99	5371	455648
100	5429	455946
101	5488	456363
102	5543	456379
103	5598	456403
104	5651	456348
105	5704	456186
106	5756	456026
107	5811	456076
108	5862	455764
109	5917	455779
110	5970	455725
111	6026	455822
112	6082	455906
113	6134	455737
114	6187	455639
115	6243	455739
116	6300	455904
117	6351	455673
118	6404	455552
119	6415	452427
120	6466	452225
121	6522	452338
122	6565	451589
123	6619	451558
124	6672	451461
125	6726	451491
126	6780	451455
127	6830	451159
128	6885	451253
129	6939	451235
130	6997	451483
131	7053	451591
132	7084	450108
133	7139	450191
134	7194	450200
135	7251	450411
136	7306	450469
137	7363	450584
138	7417	450619
139	7471	450570
140	7523	450456
141	7578	450506
142	7630	450378
143	7682	450239
144	7733	450054
145	7788	450070
146	7840	449954
147	7893	449875
148	7944	449685
149	7993	449420
150	8049	449495
151	8099	449277
152	8155	449354
