,features
0,tet(A)->seq_id
1,ADC-58->seq_id
2,ADC-30->seq_id
3,OXA-69->seq_cov
4,ADC-30->seq_cov
5,ADC-79->seq_cov
6,acrD->seq_id
7,OXA-98->seq_cov
8,adeH->seq_id
9,adeK->seq_cov
10,TEM-12->seq_cov
11,determinant_of_bleomycin_resistance->seq_id
12,adeK->seq_id
13,AAC(6')-Ian->seq_id
14,aadA27->seq_id
15,mphE->seq_id
16,OXA-98->seq_id
17,ADC-2->seq_id
18,Acinetobacter_baumannii_AmvA->seq_id
19,APH(3')-Ia->seq_id
20,adeL->seq_id
21,adeF->seq_cov
22,OXA-100->seq_id
23,sul2->seq_cov
24,APH(3'')-Ib->seq_id
25,adeJ->seq_id
26,adeN->seq_id
27,ugd->seq_id
28,msrE->seq_cov
29,NDM-1->seq_cov
30,OXA-121->seq_cov
31,abeS->seq_id
32,ANT(3'')-IIa->seq_id
33,ugd->seq_cov
34,Acinetobacter_baumannii_AbaF->seq_id
35,sul1->seq_id
36,OXA-66->seq_id
37,OXA-132->seq_cov
38,aadA27->seq_cov
39,acrB->seq_id
40,OXA-94->seq_id
41,mexK->seq_id
42,cmlB1->seq_cov
43,msrE->seq_id
44,ADC-68->seq_cov
45,abeM->seq_cov
46,acrB->seq_cov
47,adeS->seq_id
48,acrD->seq_cov
49,abeM->seq_id
50,APH(3')-VI->seq_cov
51,determinant_of_bleomycin_resistance->seq_cov
52,OXA-121->seq_id
53,OXA-100->seq_cov
54,adeG->seq_id
55,ANT(2'')-Ia->seq_id
56,ADC-79->seq_id
57,ADC-1->seq_id
58,tet(39)->seq_id
59,ADC-6->seq_id
60,adeR->seq_cov
61,OXA-94->seq_cov
62,OXA-65->seq_cov
63,Klebsiella_pneumoniae_KpnG->seq_cov
64,ADC-1->seq_cov
65,Acinetobacter_baumannii_AmvA->seq_cov
66,ADC-10->seq_id
67,OXA-71->seq_id
68,adeG->seq_cov
69,OXA-23->seq_id
70,Acinetobacter_baumannii_AbaF->seq_cov
71,adeF->seq_id
72,OXA-72->seq_cov
73,ADC-6->seq_cov
74,OXA-208->seq_id
75,ADC-58->seq_cov
76,golS->seq_cov
77,ADC-11->seq_id
78,OXA-132->seq_id
79,APH(6)-Id->seq_id
80,AAC(6')-Ib7->seq_id
81,ADC-68->seq_id
82,cmlB1->seq_id
83,adeJ->seq_cov
84,APH(6)-Id->seq_cov
85,ANT(2'')-Ia->seq_cov
86,AAC(3)-Ia->seq_cov
87,AAC(6')-Iaf->seq_cov
88,adeA->seq_cov
89,tet(A)->seq_cov
90,adeI->seq_id
91,OXA-90->seq_cov
92,AAC(6')-Iaf->seq_id
93,adeB->seq_cov
94,mdsB->seq_id
95,golS->seq_id
96,AAC(6')-Ib7->seq_cov
97,mdsB->seq_cov
98,TEM-12->seq_id
99,ADC-41->seq_id
100,OXA-23->seq_cov
101,AAC(3)-Ia->seq_id
102,mexK->seq_cov
103,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_cov
104,OXA-90->seq_id
105,OXA-72->seq_id
106,tet(B)->seq_id
107,NDM-1->seq_id
108,OXA-208->seq_cov
109,adeS->seq_cov
110,adeC->seq_id
111,Acinetobacter_baumannii_AbaQ->seq_cov
112,adeR->seq_id
113,OXA-24->seq_id
114,OXA-24->seq_cov
115,adeA->seq_id
116,ADC-10->seq_cov
117,ANT(3'')-IIa->seq_cov
118,OXA-64->seq_id
119,OXA-71->seq_cov
120,Acinetobacter_baumannii_AbaQ->seq_id
121,adeN->seq_cov
122,adeI->seq_cov
123,abeS->seq_cov
124,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_id
125,APH(3'')-Ib->seq_cov
126,ADC-41->seq_cov
127,OXA-69->seq_id
128,tet(39)->seq_cov
129,tet(B)->seq_cov
130,OXA-65->seq_id
131,adeB->seq_id
132,adeL->seq_cov
133,AAC(6')-Ian->seq_cov
134,ADC-11->seq_cov
135,Klebsiella_pneumoniae_KpnG->seq_id
136,APH(3')-VI->seq_id
137,OXA-66->seq_cov
138,ADC-2->seq_cov
139,adeH->seq_cov
140,mphE->seq_cov
141,sul2->seq_id
142,sul1->seq_cov
143,APH(3')-Ia->seq_cov
144,adeC->seq_cov
145,OXA-64->seq_cov
