,features
0,aadA11->seq_id
1,tet(A)->seq_id
2,PER-1->seq_cov
3,Staphylococcys_aureus_LmrS->seq_id
4,ADC-30->seq_id
5,OXA-69->seq_cov
6,ADC-30->seq_cov
7,ADC-79->seq_cov
8,ADC-25->seq_cov
9,acrD->seq_id
10,SHV-5->seq_cov
11,adeH->seq_id
12,dfrA1->seq_cov
13,adeK->seq_cov
14,Staphylococcys_aureus_LmrS->seq_cov
15,CARB-16->seq_id
16,TEM-12->seq_cov
17,APH(3')-IIIa->seq_cov
18,OXA-259->seq_id
19,adeK->seq_id
20,AAC(6')-Ian->seq_id
21,ANT(3'')-IIb->seq_id
22,aadA27->seq_id
23,catB8->seq_cov
24,AAC(3)-IIe->seq_id
25,mphE->seq_id
26,ADC-2->seq_id
27,Acinetobacter_baumannii_AmvA->seq_id
28,OXA-316->seq_id
29,APH(3')-Ia->seq_id
30,adeL->seq_id
31,CMY-59->seq_cov
32,adeF->seq_cov
33,AAC(6')-Ib10->seq_cov
34,OXA-100->seq_id
35,floR->seq_cov
36,AAC(3)-IIe->seq_cov
37,TEM-1->seq_cov
38,sul2->seq_cov
39,OXA-106->seq_cov
40,OXA-312->seq_cov
41,APH(3'')-Ib->seq_id
42,adeJ->seq_id
43,msrA->seq_cov
44,mphC->seq_id
45,SHV-5->seq_id
46,ADC-77->seq_id
47,adeN->seq_id
48,ugd->seq_id
49,msrE->seq_cov
50,ADC-25->seq_id
51,ADC-19->seq_id
52,abeS->seq_id
53,ANT(3'')-IIa->seq_id
54,ugd->seq_cov
55,Acinetobacter_baumannii_AbaF->seq_id
56,CARB-10->seq_id
57,sul1->seq_id
58,mphC->seq_cov
59,OXA-66->seq_id
60,APH(3')-VIa->seq_cov
61,aadA27->seq_cov
62,acrB->seq_id
63,CMY-59->seq_id
64,PC1_beta-lactamase_(blaZ)->seq_id
65,ADC-77->seq_cov
66,OXA-94->seq_id
67,mexK->seq_id
68,cmlB1->seq_cov
69,PC1_beta-lactamase_(blaZ)->seq_cov
70,msrE->seq_id
71,CARB-16->seq_cov
72,abeM->seq_cov
73,acrB->seq_cov
74,adeS->seq_id
75,ANT(3'')-IIc->seq_id
76,acrD->seq_cov
77,catI->seq_cov
78,abeM->seq_id
79,catI->seq_id
80,APH(3')-VI->seq_cov
81,SAT-4->seq_id
82,OXA-100->seq_cov
83,adeG->seq_id
84,ANT(2'')-Ia->seq_id
85,ADC-79->seq_id
86,OXA-115->seq_cov
87,ANT(3'')-IIc->seq_cov
88,ADC-76->seq_cov
89,tet(39)->seq_id
90,ADC-6->seq_id
91,adeR->seq_cov
92,OXA-94->seq_cov
93,OXA-65->seq_cov
94,Klebsiella_pneumoniae_KpnG->seq_cov
95,SAT-1->seq_cov
96,Acinetobacter_baumannii_AmvA->seq_cov
97,ADC-10->seq_id
98,OXA-71->seq_id
99,adeG->seq_cov
100,OXA-23->seq_id
101,OXA-68->seq_id
102,Acinetobacter_baumannii_AbaF->seq_cov
103,adeF->seq_id
104,SAT-1->seq_id
105,OXA-312->seq_id
106,dfrB1->seq_id
107,OXA-72->seq_cov
108,floR->seq_id
109,ADC-6->seq_cov
110,aadA24->seq_cov
111,ADC-76->seq_id
112,aadA11->seq_cov
113,OXA-115->seq_id
114,APH(3')-VIa->seq_id
115,ADC-11->seq_id
116,APH(6)-Id->seq_id
117,AAC(6')-Ib7->seq_id
118,msrA->seq_id
119,cmlB1->seq_id
120,adeJ->seq_cov
121,APH(6)-Id->seq_cov
122,ANT(2'')-Ia->seq_cov
123,AAC(3)-Ia->seq_cov
124,OXA-316->seq_cov
125,AAC(6')-Iaf->seq_cov
126,adeA->seq_cov
127,tet(A)->seq_cov
128,adeI->seq_id
129,armA->seq_id
130,OXA-90->seq_cov
131,AAC(6')-Iaf->seq_id
132,adeB->seq_cov
133,catB8->seq_id
134,AAC(6')-Ib7->seq_cov
135,AAC(6')-Ib10->seq_id
136,CARB-10->seq_cov
137,APH(3')-IIIa->seq_id
138,aadA24->seq_id
139,TEM-12->seq_id
140,ADC-41->seq_id
141,OXA-23->seq_cov
142,AAC(3)-Ia->seq_id
143,mexK->seq_cov
