,features
0,tet(A)->seq_id
1,ADC-58->seq_id
2,ADC-30->seq_id
3,OXA-69->seq_cov
4,ADC-30->seq_cov
5,ADC-79->seq_cov
6,OXA-430->seq_id
7,acrD->seq_id
8,OXA-98->seq_cov
9,adeH->seq_id
10,adeK->seq_cov
11,CARB-16->seq_id
12,TEM-12->seq_cov
13,OXA-259->seq_id
14,acrF->seq_id
15,Acinetobacter_baumannii_AmpC_beta-lactamase->seq_id
16,adeK->seq_id
17,OXA-340->seq_cov
18,aadA27->seq_id
19,cmeB->seq_cov
20,mphE->seq_id
21,OXA-98->seq_id
22,macB->seq_cov
23,ADC-2->seq_id
24,Acinetobacter_baumannii_AmvA->seq_id
25,OXA-407->seq_cov
26,ADC-3->seq_id
27,APH(3')-Ia->seq_id
28,OXA-413->seq_id
29,adeL->seq_id
30,adeF->seq_cov
31,OXA-413->seq_cov
32,OXA-100->seq_id
33,ADC-75->seq_id
34,sul2->seq_cov
35,OXA-106->seq_cov
36,APH(3'')-Ib->seq_id
37,adeJ->seq_id
38,adeN->seq_id
39,ugd->seq_id
40,Acinetobacter_baumannii_AmpC_beta-lactamase->seq_cov
41,msrE->seq_cov
42,OXA-121->seq_cov
43,abeS->seq_id
44,ANT(3'')-IIa->seq_id
45,ugd->seq_cov
46,Acinetobacter_baumannii_AbaF->seq_id
47,OXA-270->seq_id
48,sul1->seq_id
49,OXA-66->seq_id
50,OXA-126->seq_id
51,APH(3')-VIa->seq_cov
52,aadA27->seq_cov
53,acrB->seq_id
54,ADC-16->seq_cov
55,OXA-407->seq_id
56,OXA-94->seq_id
57,mexK->seq_id
58,msrE->seq_id
59,ADC-68->seq_cov
60,CARB-16->seq_cov
61,abeM->seq_cov
62,mdtF->seq_cov
63,acrB->seq_cov
64,adeS->seq_id
65,ANT(3'')-IIc->seq_id
66,acrD->seq_cov
67,catI->seq_cov
68,abeM->seq_id
69,catI->seq_id
70,APH(3')-VI->seq_cov
71,OXA-121->seq_id
72,OXA-100->seq_cov
73,adeG->seq_id
74,ANT(2'')-Ia->seq_id
75,ADC-79->seq_id
76,ANT(3'')-IIc->seq_cov
77,OXA-67->seq_id
78,tet(39)->seq_id
79,ADC-6->seq_id
80,OXA-58->seq_cov
81,adeR->seq_cov
82,dfrA19->seq_cov
83,OXA-126->seq_cov
84,OXA-94->seq_cov
85,OXA-65->seq_cov
86,Klebsiella_pneumoniae_KpnG->seq_cov
87,Acinetobacter_baumannii_AmvA->seq_cov
88,adeG->seq_cov
89,OXA-340->seq_id
90,OXA-23->seq_id
91,OXA-314->seq_id
92,Acinetobacter_baumannii_AbaF->seq_cov
93,adeF->seq_id
94,ADC-16->seq_id
95,OXA-314->seq_cov
96,ADC-6->seq_cov
97,OXA-208->seq_id
98,ADC-58->seq_cov
99,dfrA19->seq_id
100,cmeB->seq_id
101,golS->seq_cov
102,APH(3')-VIa->seq_id
103,ADC-11->seq_id
104,APH(6)-Id->seq_id
105,AAC(6')-Ib7->seq_id
106,ADC-68->seq_id
107,OXA-91->seq_cov
108,OXA-270->seq_cov
109,adeJ->seq_cov
110,APH(6)-Id->seq_cov
111,ANT(2'')-Ia->seq_cov
112,AAC(3)-Ia->seq_cov
113,adeA->seq_cov
114,OXA-67->seq_cov
115,tet(A)->seq_cov
116,adeI->seq_id
117,OXA-242->seq_id
118,OXA-90->seq_cov
119,adeB->seq_cov
120,mdsB->seq_id
121,golS->seq_id
122,AAC(6')-Ib7->seq_cov
123,OXA-91->seq_id
124,mdsB->seq_cov
125,catB3->seq_id
126,catB3->seq_cov
127,TEM-12->seq_id
128,OXA-23->seq_cov
129,OXA-58->seq_id
130,AAC(3)-Ia->seq_id
131,mexK->seq_cov
132,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_cov
133,OXA-90->seq_id
134,tet(B)->seq_id
135,OXA-208->seq_cov
136,adeS->seq_cov
137,adeC->seq_id
138,Acinetobacter_baumannii_AbaQ->seq_cov
139,adeR->seq_id
140,macB->seq_id
141,mdtF->seq_id
142,OXA-51->seq_id
143,adeA->seq_id
144,ANT(3'')-IIa->seq_cov
145,OXA-64->seq_id
146,Acinetobacter_baumannii_AbaQ->seq_id
147,adeN->seq_cov
148,ADC-3->seq_cov
149,adeI->seq_cov
150,abeS->seq_cov
151,OXA-106->seq_id
152,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_id
153,OXA-430->seq_cov
154,APH(3'')-Ib->seq_cov
155,OXA-242->seq_cov
156,OXA-69->seq_id
157,tet(39)->seq_cov
158,tet(B)->seq_cov
159,OXA-51->seq_cov
160,OXA-65->seq_id
161,OXA-259->seq_cov
162,acrF->seq_cov
163,adeB->seq_id
164,adeL->seq_cov
165,ADC-75->seq_cov
166,ADC-11->seq_cov
167,Klebsiella_pneumoniae_KpnG->seq_id
168,APH(3')-VI->seq_id
169,OXA-66->seq_cov
170,ADC-2->seq_cov
171,adeH->seq_cov
172,mphE->seq_cov
173,sul2->seq_id
174,sul1->seq_cov
175,APH(3')-Ia->seq_cov
176,adeC->seq_cov
177,OXA-64->seq_cov
