,features
0,tet(A)->seq_id
1,OXA-69->seq_cov
2,ADC-79->seq_cov
3,acrD->seq_id
4,OXA-98->seq_cov
5,adeH->seq_id
6,adeK->seq_cov
7,CARB-16->seq_id
8,TEM-12->seq_cov
9,OXA-259->seq_id
10,acrF->seq_id
11,Acinetobacter_baumannii_AmpC_beta-lactamase->seq_id
12,adeK->seq_id
13,OXA-340->seq_cov
14,aadA27->seq_id
15,cmeB->seq_cov
16,mphE->seq_id
17,OXA-98->seq_id
18,ADC-2->seq_id
19,Acinetobacter_baumannii_AmvA->seq_id
20,APH(3')-Ia->seq_id
21,adeL->seq_id
22,CMY-59->seq_cov
23,adeF->seq_cov
24,OXA-100->seq_id
25,floR->seq_cov
26,ADC-75->seq_id
27,sul2->seq_cov
28,APH(3'')-Ib->seq_id
29,adeJ->seq_id
30,adeN->seq_id
31,ugd->seq_id
32,Acinetobacter_baumannii_AmpC_beta-lactamase->seq_cov
33,msrE->seq_cov
34,abeS->seq_id
35,ANT(3'')-IIa->seq_id
36,ugd->seq_cov
37,Acinetobacter_baumannii_AbaF->seq_id
38,sul1->seq_id
39,aadA27->seq_cov
40,acrB->seq_id
41,CMY-59->seq_id
42,OXA-94->seq_id
43,mexK->seq_id
44,msrE->seq_id
45,ADC-68->seq_cov
46,CARB-16->seq_cov
47,abeM->seq_cov
48,acrB->seq_cov
49,adeS->seq_id
50,acrD->seq_cov
51,abeM->seq_id
52,OXA-100->seq_cov
53,adeG->seq_id
54,ANT(2'')-Ia->seq_id
55,ADC-79->seq_id
56,ADC-76->seq_cov
57,tet(39)->seq_id
58,OXA-58->seq_cov
59,adeR->seq_cov
60,OXA-94->seq_cov
61,Klebsiella_pneumoniae_KpnG->seq_cov
62,Acinetobacter_baumannii_AmvA->seq_cov
63,OXA-260->seq_cov
64,adeG->seq_cov
65,OXA-340->seq_id
66,OXA-68->seq_id
67,Acinetobacter_baumannii_AbaF->seq_cov
68,adeF->seq_id
69,floR->seq_id
70,OXA-260->seq_id
71,ADC-76->seq_id
72,cmeB->seq_id
73,golS->seq_cov
74,ADC-11->seq_id
75,APH(6)-Id->seq_id
76,AAC(6')-Ib7->seq_id
77,ADC-68->seq_id
78,OXA-91->seq_cov
79,adeJ->seq_cov
80,APH(6)-Id->seq_cov
81,ANT(2'')-Ia->seq_cov
82,AAC(3)-Ia->seq_cov
83,adeA->seq_cov
84,tet(A)->seq_cov
85,adeI->seq_id
86,adeB->seq_cov
87,mdsB->seq_id
88,golS->seq_id
89,AAC(6')-Ib7->seq_cov
90,OXA-91->seq_id
91,mdsB->seq_cov
92,TEM-12->seq_id
93,ADC-41->seq_id
94,OXA-58->seq_id
95,AAC(3)-Ia->seq_id
96,mexK->seq_cov
97,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_cov
98,OXA-317->seq_cov
99,adeS->seq_cov
100,adeC->seq_id
101,Acinetobacter_baumannii_AbaQ->seq_cov
102,adeR->seq_id
103,OXA-431->seq_cov
104,OXA-431->seq_id
105,adeA->seq_id
106,ANT(3'')-IIa->seq_cov
107,OXA-64->seq_id
108,Acinetobacter_baumannii_AbaQ->seq_id
109,adeN->seq_cov
110,adeI->seq_cov
111,abeS->seq_cov
112,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_id
113,APH(3'')-Ib->seq_cov
114,ADC-41->seq_cov
115,OXA-69->seq_id
116,tet(39)->seq_cov
117,OXA-259->seq_cov
118,acrF->seq_cov
119,adeB->seq_id
120,adeL->seq_cov
121,ADC-75->seq_cov
122,ADC-11->seq_cov
123,OXA-68->seq_cov
124,Klebsiella_pneumoniae_KpnG->seq_id
125,ADC-2->seq_cov
126,adeH->seq_cov
127,OXA-317->seq_id
128,mphE->seq_cov
129,sul2->seq_id
130,sul1->seq_cov
131,APH(3')-Ia->seq_cov
132,adeC->seq_cov
133,OXA-64->seq_cov
