,features
0,tet(A)->seq_id
1,PER-1->seq_cov
2,ADC-58->seq_id
3,ADC-30->seq_id
4,OXA-69->seq_cov
5,ADC-30->seq_cov
6,ADC-79->seq_cov
7,ADC-25->seq_cov
8,acrD->seq_id
9,adeH->seq_id
10,dfrA1->seq_cov
11,aadA17->seq_id
12,adeK->seq_cov
13,TEM-12->seq_cov
14,acrF->seq_id
15,determinant_of_bleomycin_resistance->seq_id
16,adeK->seq_id
17,AAC(6')-Ian->seq_id
18,OXA-340->seq_cov
19,ANT(3'')-IIb->seq_id
20,aadA27->seq_id
21,cmeB->seq_cov
22,AAC(3)-IIe->seq_id
23,mphE->seq_id
24,ADC-2->seq_id
25,Acinetobacter_baumannii_AmvA->seq_id
26,OXA-407->seq_cov
27,APH(3')-Ia->seq_id
28,adeL->seq_id
29,CMY-59->seq_cov
30,adeF->seq_cov
31,OXA-113->seq_cov
32,OXA-100->seq_id
33,floR->seq_cov
34,AAC(3)-IIe->seq_cov
35,TEM-1->seq_cov
36,aadA12->seq_cov
37,sul2->seq_cov
38,APH(3'')-Ib->seq_id
39,adeJ->seq_id
40,adeN->seq_id
41,ugd->seq_id
42,msrE->seq_cov
43,NDM-1->seq_cov
44,OXA-121->seq_cov
45,ADC-25->seq_id
46,abeS->seq_id
47,ANT(3'')-IIa->seq_id
48,ugd->seq_cov
49,Acinetobacter_baumannii_AbaF->seq_id
50,sul1->seq_id
51,OXA-66->seq_id
52,APH(3')-VIa->seq_cov
53,aadA27->seq_cov
54,acrB->seq_id
55,CMY-59->seq_id
56,OXA-407->seq_id
57,OXA-94->seq_id
58,mexK->seq_id
59,cmlB1->seq_cov
60,msrE->seq_id
61,ADC-68->seq_cov
62,abeM->seq_cov
63,acrB->seq_cov
64,adeS->seq_id
65,ANT(3'')-IIc->seq_id
66,acrD->seq_cov
67,catI->seq_cov
68,abeM->seq_id
69,catI->seq_id
70,APH(3')-VI->seq_cov
71,determinant_of_bleomycin_resistance->seq_cov
72,OXA-121->seq_id
73,OXA-100->seq_cov
74,adeG->seq_id
75,ANT(2'')-Ia->seq_id
76,ADC-79->seq_id
77,OXA-115->seq_cov
78,ANT(3'')-IIc->seq_cov
79,ADC-1->seq_id
80,ADC-76->seq_cov
81,tet(39)->seq_id
82,ADC-6->seq_id
83,OXA-58->seq_cov
84,adeR->seq_cov
85,dfrA19->seq_cov
86,OXA-94->seq_cov
87,OXA-65->seq_cov
88,Klebsiella_pneumoniae_KpnG->seq_cov
89,ADC-1->seq_cov
90,SAT-1->seq_cov
91,Acinetobacter_baumannii_AmvA->seq_cov
92,ADC-10->seq_id
93,OXA-71->seq_id
94,OXA-260->seq_cov
95,adeG->seq_cov
96,OXA-340->seq_id
97,OXA-23->seq_id
